# of Judges,Project,Competition Category,Venture Category,Judge 1,Judge 2,Judge 3,Judge 4,Judge 5,Judge 6,Judge 7,Judge 8,Judge 9,Judge 10,Judge 11,Judge 12,Judge 13,Judge 14,Judge 15,Judge 16,Judge 17,Judge 18,Judge 19
11,Bridging the Gap for Women - Level Up with the Entrepreneur Residency ,Community in 3 County Region,Advanced Materials,,,,,,,,,,,,,,,,,,,
11,Bedrock Oyster,Current Notre Dame Undergraduate Student,Agriculture,,,,,,,,,,,,,,,,,,,
10,Chameleon Foods,Current Notre Dame Undergraduate Student,Agriculture,,,,,,,,,,,,,,,,,,,
10,Cleva,Current Notre Dame Graduate Student,Agriculture,,,,,,,,,,,,,,,,,,,
10,SetaTech,Notre Dame Alumni,Agriculture,,,,,,,,,,,,,,,,,,,
10,Shipshape Urban Farms,Notre Dame Alumni,Agriculture,,,,,,,,,,,,,,,,,,,
10,SoftSea,Current ESTEEM Graduate Student,Agriculture,,,,,,,,,,,,,,,,,,,
11,Trellis,Current Notre Dame Undergraduate Student,Agriculture,,,,,,,,,,,,,,,,,,,
11,CampuSKey,Notre Dame Alumni,B2B Digital/SaaS,,,,,,,,,,,,,,,,,,,
11,Church Property Management,Current Notre Dame MBA/EMBA Student,B2B Digital/SaaS,,,,,,,,,,,,,,,,,,,
12,Electus Global Education Company,Notre Dame Alumni,B2B Digital/SaaS,,,,,,,,,,,,,,,,,,,
11,Flexwork,Current Notre Dame MBA/EMBA Student,B2B Digital/SaaS,,,,,,,,,,,,,,,,,,,
11,GoFix,Current ESTEEM Graduate Student,B2B Digital/SaaS,,,,,,,,,,,,,,,,,,,
12,GuidED,Current Notre Dame Undergraduate Student,B2B Digital/SaaS,,,,,,,,,,,,,,,,,,,
12,"KINGA SAFETY, INC",Notre Dame Alumni,B2B Digital/SaaS,,,,,,,,,,,,,,,,,,,
12,Lagom,Notre Dame Alumni,B2B Digital/SaaS,,,,,,,,,,,,,,,,,,,
12,Launched,Current ESTEEM Graduate Student,B2B Digital/SaaS,,,,,,,,,,,,,,,,,,,
11,Mimik Studio,Community in 3 County Region,B2B Digital/SaaS,,,,,,,,,,,,,,,,,,,
11,Monti,Notre Dame Alumni,B2B Digital/SaaS,,,,,,,,,,,,,,,,,,,
11,Mortgage Backed Blockchain Staking,Current Notre Dame Undergraduate Student,B2B Digital/SaaS,,,,,,,,,,,,,,,,,,,
12,MoVE Office Automation,Community in 3 County Region,B2B Digital/SaaS,,,,,,,,,,,,,,,,,,,
12,MPA for Retail Systems,Current Notre Dame Undergraduate Student,B2B Digital/SaaS,,,,,,,,,,,,,,,,,,,
11,MYND,Notre Dame Alumni,B2B Digital/SaaS,,,,,,,,,,,,,,,,,,,
10,Nautilus,"Other Notre Dame Program (E.G. Mandela Fellows, Innovation Academy, Summer Scholars)",B2B Digital/SaaS,,,,,,,,,,,,,,,,,,,
10,qibri,Community in 3 County Region,B2B Digital/SaaS,,,,,,,,,,,,,,,,,,,
12,Routora,Current Notre Dame Undergraduate Student,B2B Digital/SaaS,,,,,,,,,,,,,,,,,,,
12,SpotSight,Current Notre Dame Undergraduate Student,B2B Digital/SaaS,,,,,,,,,,,,,,,,,,,
11,StudyPort,Current Notre Dame Undergraduate Student,B2B Digital/SaaS,,,,,,,,,,,,,,,,,,,
11,TD3 Innovative Gaming,Current Notre Dame Undergraduate Student,B2B Digital/SaaS,,,,,,,,,,,,,,,,,,,
11,TipOff,Current ESTEEM Graduate Student,B2B Digital/SaaS,,,,,,,,,,,,,,,,,,,
12,Top Prospect,Current Notre Dame Undergraduate Student,B2B Digital/SaaS,,,,,,,,,,,,,,,,,,,
11,activeARE,Notre Dame Alumni,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
11,Artistically Stupid,Current High School Student in 3 County Region,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,ArtVision,Current High School Student in 3 County Region,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,Astromata,Notre Dame Alumni,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
12,AUXIN Games,Current ESTEEM Graduate Student,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
11,Ave,Current Notre Dame Undergraduate Student,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,BeautyAround,Notre Dame Alumni,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
11,Byond,Notre Dame Alumni,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,C I V I T A S   ,Current Notre Dame Graduate Student,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
11,clearspace,Notre Dame Alumni,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,Cobolic,Notre Dame Alumni,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,coffee + good,Current Notre Dame Graduate Student,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
11,Comma,Current ESTEEM Graduate Student,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,CutCapture,Current ESTEEM Graduate Student,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,EYIT Startup Financing Initiative (ESFI),"Other Notre Dame Program (E.G. Mandela Fellows, Innovation Academy, Summer Scholars)",B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,Finbud,"Other Notre Dame Program (E.G. Mandela Fellows, Innovation Academy, Summer Scholars)",B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
11,Gehr Co.,Current Notre Dame MBA/EMBA Student,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
11,GiftShop,Current Notre Dame Undergraduate Student,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,GotInfo,Notre Dame Alumni,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
11,JubileeDAO & Currency for the Common Good,Current ND Faculty/Staff,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,Kopa,Notre Dame Alumni,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
11,Lawroo,Current Notre Dame Undergraduate Student,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,Maet,Notre Dame Alumni,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,Maia,Notre Dame Alumni,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,Minerva,Current Notre Dame MBA/EMBA Student,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
11,MiniFort,Current Notre Dame Undergraduate Student,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
11,Mr. Barber on the Move,Current ESTEEM Graduate Student,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
12,MyStory,Notre Dame Alumni,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,Nora+,Community in 3 County Region,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,Period.,Current Notre Dame Graduate Student,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,Podstax,Current ESTEEM Graduate Student,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,ProfProven,Current ESTEEM Graduate Student,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,QuoteNote,Current Notre Dame Undergraduate Student,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
11,Rydr,Current Notre Dame Undergraduate Student,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
11,Shortcastle,Current Notre Dame Undergraduate Student,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,Steed,Notre Dame Alumni,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,Stroll Care,Current ESTEEM Graduate Student,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
11,Study Abroad Go,Current Notre Dame MBA/EMBA Student,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,TeacherTime Call Coverage,Notre Dame Alumni,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,The People's Data Project,Current Notre Dame Graduate Student,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,The Working Life,Current Notre Dame Undergraduate Student,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,Unify,Notre Dame Alumni,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,Wend,Notre Dame Alumni,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,You Give,Current Notre Dame Undergraduate Student,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,ZuzuForKids.com,Notre Dame Alumni,B2C Digital/Apps,,,,,,,,,,,,,,,,,,,
10,Babble Therapy Life Coach,Current Other University Student in 3 County Region,B2C Physical Products,,,,,,,,,,,,,,,,,,,
12,CTM (Competitive Training Metrics),Current ESTEEM Graduate Student,B2C Physical Products,,,,,,,,,,,,,,,,,,,
13,Five Star Life Arts,Current Notre Dame Graduate Student,B2C Physical Products,,,,,,,,,,,,,,,,,,,
6,General Debauchery ,Current Notre Dame Undergraduate Student,B2C Physical Products,,,,,,,,,,,,,,,,,,,
12,heARsight,Notre Dame Alumni,B2C Physical Products,,,,,,,,,,,,,,,,,,,
12,LOOMING,Current Notre Dame Graduate Student,B2C Physical Products,,,,,,,,,,,,,,,,,,,
12,PaceDrone,Current Notre Dame Undergraduate Student,B2C Physical Products,,,,,,,,,,,,,,,,,,,
11,Power Tie Giveaway In A Box,Notre Dame Alumni,B2C Physical Products,,,,,,,,,,,,,,,,,,,
12,ShoreUp,Current Notre Dame Undergraduate Student,B2C Physical Products,,,,,,,,,,,,,,,,,,,
12,Tangler Wrangler,Current ESTEEM Graduate Student,B2C Physical Products,,,,,,,,,,,,,,,,,,,
12,The Vitalist,Current ESTEEM Graduate Student,B2C Physical Products,,,,,,,,,,,,,,,,,,,
11,VibeGrips,Current Notre Dame Undergraduate Student,B2C Physical Products,,,,,,,,,,,,,,,,,,,
12,XSEED Properties,Notre Dame Alumni,B2C Physical Products,,,,,,,,,,,,,,,,,,,
11,A Gluten Free Cottage Bakery ,Current Notre Dame MBA/EMBA Student,Commerce/Retail,,,,,,,,,,,,,,,,,,,
10,Back in the Bend,Current High School Student in 3 County Region,Commerce/Retail,,,,,,,,,,,,,,,,,,,
12,Bike Basics,Current St. Mary's Student Undergraduate Student,Commerce/Retail,,,,,,,,,,,,,,,,,,,
12,Call Me King Shoes,Current ESTEEM Graduate Student,Commerce/Retail,,,,,,,,,,,,,,,,,,,
12,Children's Home Infusion Pharmacy,Current Other University Student in 3 County Region,Commerce/Retail,,,,,,,,,,,,,,,,,,,
11,Chopan - Sourdough Bakery,Current ESTEEM Graduate Student,Commerce/Retail,,,,,,,,,,,,,,,,,,,
12,CoSAL,Current Notre Dame Graduate Student,Commerce/Retail,,,,,,,,,,,,,,,,,,,
12,Desi,Current Notre Dame Undergraduate Student,Commerce/Retail,,,,,,,,,,,,,,,,,,,
11,Enabler ,"Other Notre Dame Program (E.G. Mandela Fellows, Innovation Academy, Summer Scholars)",Commerce/Retail,,,,,,,,,,,,,,,,,,,
11,Ezza Market ,"Other Notre Dame Program (E.G. Mandela Fellows, Innovation Academy, Summer Scholars)",Commerce/Retail,,,,,,,,,,,,,,,,,,,
13,Friends of Notre Dame,Current Notre Dame Graduate Student,Commerce/Retail,,,,,,,,,,,,,,,,,,,
12,Frontier,Notre Dame Alumni,Commerce/Retail,,,,,,,,,,,,,,,,,,,
11,G. Grips,Current High School Student in 3 County Region,Commerce/Retail,,,,,,,,,,,,,,,,,,,
11,GreenBaby,Current Notre Dame Undergraduate Student,Commerce/Retail,,,,,,,,,,,,,,,,,,,
11,Jettaâ€™s sweet & salty kettle corn ,Community in 3 County Region,Commerce/Retail,,,,,,,,,,,,,,,,,,,
11,Junior Changemakers,Current Notre Dame MBA/EMBA Student,Commerce/Retail,,,,,,,,,,,,,,,,,,,
13,Legacy LLC,Current Notre Dame Undergraduate Student,Commerce/Retail,,,,,,,,,,,,,,,,,,,
11,Making the Shift,Community in 3 County Region,Commerce/Retail,,,,,,,,,,,,,,,,,,,
11,Manning Beverages LLC,Current Notre Dame Undergraduate Student,Commerce/Retail,,,,,,,,,,,,,,,,,,,
11,Netic Nails,Current Notre Dame Graduate Student,Commerce/Retail,,,,,,,,,,,,,,,,,,,
11,Project Shadow Band,Community in 3 County Region,Commerce/Retail,,,,,,,,,,,,,,,,,,,
11,Resenha/Sambinha Beverage Company,Current Notre Dame Undergraduate Student,Commerce/Retail,,,,,,,,,,,,,,,,,,,
11,Samaritan,Current Notre Dame Undergraduate Student,Commerce/Retail,,,,,,,,,,,,,,,,,,,
11,SeekSmart,Current Notre Dame MBA/EMBA Student,Commerce/Retail,,,,,,,,,,,,,,,,,,,
11,Small Animal Coffee House,Current Notre Dame Graduate Student,Commerce/Retail,,,,,,,,,,,,,,,,,,,
12,Smart Foods,Current Notre Dame Undergraduate Student,Commerce/Retail,,,,,,,,,,,,,,,,,,,
12,"The Wholesome Package, LLC",Community in 3 County Region,Commerce/Retail,,,,,,,,,,,,,,,,,,,
12,Venus Kenya Sacco Ltd ,"Other Notre Dame Program (E.G. Mandela Fellows, Innovation Academy, Summer Scholars)",Commerce/Retail,,,,,,,,,,,,,,,,,,,
12,SpoRx Therapeutics Inc.,Current ESTEEM Graduate Student,Drug Development,,,,,,,,,,,,,,,,,,,
13,Van Heron Labs,Notre Dame Alumni,Drug Development,,,,,,,,,,,,,,,,,,,
12,Environmentalists for Education (E4E),Current Notre Dame Undergraduate Student,Energy/Defense/Environmental,,,,,,,,,,,,,,,,,,,
12,JAM Solar,Notre Dame Alumni,Energy/Defense/Environmental,,,,,,,,,,,,,,,,,,,
13,Mens et Manus,Current Notre Dame MBA/EMBA Student,Energy/Defense/Environmental,,,,,,,,,,,,,,,,,,,
10,Phone Panel Plus,Current High School Student in 3 County Region,Energy/Defense/Environmental,,,,,,,,,,,,,,,,,,,
12,Shining Innovation LLC,Notre Dame Alumni,Energy/Defense/Environmental,,,,,,,,,,,,,,,,,,,
13,United Workers Government and Organizations News (UWGBO News),Current Notre Dame Undergraduate Student,Energy/Defense/Environmental,,,,,,,,,,,,,,,,,,,
12,G-Dustbin,Current ESTEEM Graduate Student,Manufacturing/Supply Chain,,,,,,,,,,,,,,,,,,,
13,BioMarq,Current Notre Dame Graduate Student,Medical Device/Diagnostics,,,,,,,,,,,,,,,,,,,
14,Duniven Dental - Making Improved Dental Instruments,Notre Dame Alumni,Medical Device/Diagnostics,,,,,,,,,,,,,,,,,,,
14,HexBR,Current Notre Dame Undergraduate Student,Medical Device/Diagnostics,,,,,,,,,,,,,,,,,,,
13,histoimage,Notre Dame Alumni,Medical Device/Diagnostics,,,,,,,,,,,,,,,,,,,
14,iMD Device (Incision Manipulation Deterrent Device),Notre Dame Alumni,Medical Device/Diagnostics,,,,,,,,,,,,,,,,,,,
13,Luonnon,Current Notre Dame Undergraduate Student,Medical Device/Diagnostics,,,,,,,,,,,,,,,,,,,
13,NeuroBell,Notre Dame Alumni,Medical Device/Diagnostics,,,,,,,,,,,,,,,,,,,
13,sensitv,Current Notre Dame Graduate Student,Medical Device/Diagnostics,,,,,,,,,,,,,,,,,,,
14,thecarelink,Notre Dame Alumni,Medical Device/Diagnostics,,,,,,,,,,,,,,,,,,,